year,month,city,region,category,cpi
1929,Feb,San Francisco,West,All Items,
1929,Mar,San Francisco,West,All Items,
1929,Apr,San Francisco,West,All Items,
1929,May,San Francisco,West,All Items,
1929,Jun,San Francisco,West,All Items,14.8
1929,Jul,San Francisco,West,All Items,
1929,Aug,San Francisco,West,All Items,
1929,Sep,San Francisco,West,All Items,
1929,Oct,San Francisco,West,All Items,
1929,Nov,San Francisco,West,All Items,
1929,Dec,San Francisco,West,All Items,14.9
1930,Jan,San Francisco,West,All Items,
1930,Feb,San Francisco,West,All Items,
1930,Mar,San Francisco,West,All Items,
1930,Apr,San Francisco,West,All Items,
1930,May,San Francisco,West,All Items,
1930,Jun,San Francisco,West,All Items,14.6
1930,Jul,San Francisco,West,All Items,
1930,Aug,San Francisco,West,All Items,
1930,Sep,San Francisco,West,All Items,
1930,Oct,San Francisco,West,All Items,
1930,Nov,San Francisco,West,All Items,
1930,Dec,San Francisco,West,All Items,14.1
1931,Jan,San Francisco,West,All Items,
1931,Feb,San Francisco,West,All Items,
1931,Mar,San Francisco,West,All Items,
1931,Apr,San Francisco,West,All Items,
1931,May,San Francisco,West,All Items,
1931,Jun,San Francisco,West,All Items,13.3
1931,Jul,San Francisco,West,All Items,
1931,Aug,San Francisco,West,All Items,
1931,Sep,San Francisco,West,All Items,
1931,Oct,San Francisco,West,All Items,
1931,Nov,San Francisco,West,All Items,
1931,Dec,San Francisco,West,All Items,12.9
1932,Jan,San Francisco,West,All Items,
1932,Feb,San Francisco,West,All Items,
1932,Mar,San Francisco,West,All Items,
1932,Apr,San Francisco,West,All Items,
1932,May,San Francisco,West,All Items,
1932,Jun,San Francisco,West,All Items,12.2
1932,Jul,San Francisco,West,All Items,
1932,Aug,San Francisco,West,All Items,
1932,Sep,San Francisco,West,All Items,
1932,Oct,San Francisco,West,All Items,
1932,Nov,San Francisco,West,All Items,
1932,Dec,San Francisco,West,All Items,12.0
1933,Jan,San Francisco,West,All Items,
1933,Feb,San Francisco,West,All Items,
1933,Mar,San Francisco,West,All Items,
1933,Apr,San Francisco,West,All Items,
1933,May,San Francisco,West,All Items,
1933,Jun,San Francisco,West,All Items,11.7
1933,Jul,San Francisco,West,All Items,
1933,Aug,San Francisco,West,All Items,
1933,Sep,San Francisco,West,All Items,
1933,Oct,San Francisco,West,All Items,
1933,Nov,San Francisco,West,All Items,
1933,Dec,San Francisco,West,All Items,12.1
1934,Jan,San Francisco,West,All Items,
1934,Feb,San Francisco,West,All Items,
1934,Mar,San Francisco,West,All Items,
1934,Apr,San Francisco,West,All Items,
1934,May,San Francisco,West,All Items,
1934,Jun,San Francisco,West,All Items,12.2
1934,Jul,San Francisco,West,All Items,
1934,Aug,San Francisco,West,All Items,
1934,Sep,San Francisco,West,All Items,
1934,Oct,San Francisco,West,All Items,
1934,Nov,San Francisco,West,All Items,12.5
1934,Dec,San Francisco,West,All Items,
1935,Jan,San Francisco,West,All Items,
1935,Feb,San Francisco,West,All Items,
1935,Mar,San Francisco,West,All Items,12.6
1935,Apr,San Francisco,West,All Items,
1935,May,San Francisco,West,All Items,
1935,Jun,San Francisco,West,All Items,
1935,Jul,San Francisco,West,All Items,12.3
1935,Aug,San Francisco,West,All Items,
1935,Sep,San Francisco,West,All Items,
1935,Oct,San Francisco,West,All Items,12.3
1935,Nov,San Francisco,West,All Items,
1935,Dec,San Francisco,West,All Items,
1936,Jan,San Francisco,West,All Items,12.4
1936,Feb,San Francisco,West,All Items,
1936,Mar,San Francisco,West,All Items,
1936,Apr,San Francisco,West,All Items,12.2
1936,May,San Francisco,West,All Items,
1936,Jun,San Francisco,West,All Items,
1936,Jul,San Francisco,West,All Items,12.4
1936,Aug,San Francisco,West,All Items,
1936,Sep,San Francisco,West,All Items,12.4
1936,Oct,San Francisco,West,All Items,
1936,Nov,San Francisco,West,All Items,
1936,Dec,San Francisco,West,All Items,12.4
1937,Jan,San Francisco,West,All Items,
1937,Feb,San Francisco,West,All Items,
1937,Mar,San Francisco,West,All Items,12.8
1937,Apr,San Francisco,West,All Items,
1937,May,San Francisco,West,All Items,
1937,Jun,San Francisco,West,All Items,12.8
1937,Jul,San Francisco,West,All Items,
1937,Aug,San Francisco,West,All Items,
1937,Sep,San Francisco,West,All Items,12.9
1937,Oct,San Francisco,West,All Items,
1937,Nov,San Francisco,West,All Items,
1937,Dec,San Francisco,West,All Items,13.0
1938,Jan,San Francisco,West,All Items,
1938,Feb,San Francisco,West,All Items,
1938,Mar,San Francisco,West,All Items,12.8
1938,Apr,San Francisco,West,All Items,
1938,May,San Francisco,West,All Items,
1938,Jun,San Francisco,West,All Items,12.8
1938,Jul,San Francisco,West,All Items,
1938,Aug,San Francisco,West,All Items,
1938,Sep,San Francisco,West,All Items,12.8
1938,Oct,San Francisco,West,All Items,
1938,Nov,San Francisco,West,All Items,
1938,Dec,San Francisco,West,All Items,12.8
1939,Jan,San Francisco,West,All Items,
1939,Feb,San Francisco,West,All Items,
1939,Mar,San Francisco,West,All Items,12.7
1939,Apr,San Francisco,West,All Items,
1939,May,San Francisco,West,All Items,
1939,Jun,San Francisco,West,All Items,12.5
1939,Jul,San Francisco,West,All Items,
1939,Aug,San Francisco,West,All Items,
1939,Sep,San Francisco,West,All Items,12.8
1939,Oct,San Francisco,West,All Items,
