year,month,category,cpi,region,period,estimatedcost,avg_wage,base_cpi,real_wage,state
2020,jan,Food at Home,250.901,West,Post-COVID,350.81,55413.07692307692,249.1335,55022.71,Hawaii
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Montana
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Idaho
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Wyoming
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Colorado
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,New Mexico
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Arizona
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Utah
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Nevada
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Washington
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Oregon
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,California
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Alaska
2021,jan,Food at Home,263.024,West,Post-COVID,367.76,57181.53846153846,249.1335,54161.74,Hawaii
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Montana
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Idaho
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Wyoming
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Colorado
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,New Mexico
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Arizona
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Utah
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Nevada
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Washington
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Oregon
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,California
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Alaska
2022,jan,Food at Home,284.701,West,Post-COVID,398.07,60580.769230769234,249.1335,53012.46,Hawaii
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Montana
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Idaho
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Wyoming
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Colorado
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,New Mexico
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Arizona
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Utah
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Nevada
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Washington
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Oregon
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,California
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Alaska
2023,jan,Food at Home,314.531,West,Post-COVID,439.78,64514.61538461538,249.1335,51100.69,Hawaii
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Montana
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Idaho
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Wyoming
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Colorado
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,New Mexico
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Arizona
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Utah
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Nevada
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Washington
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Oregon
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,California
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Alaska
2024,jan,Food at Home,319.595,West,Post-COVID,446.86,67345.38461538461,249.1335,52497.67,Hawaii
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Montana
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Idaho
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Wyoming
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Colorado
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,New Mexico
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Arizona
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Utah
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Nevada
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Washington
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Oregon
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,California
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Alaska
2025,jan,Food at Home,327.3,West,Post-COVID,457.63,70388.67695938653,249.1335,53578.3,Hawaii
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Montana
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Idaho
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Wyoming
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Colorado
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,New Mexico
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Arizona
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Utah
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Nevada
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Washington
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Oregon
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,California
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Alaska
2015,jan,Food Away From Home,246.713,West,Pre-COVID,272.92,47287.692307692305,250.00616666666667,47918.9,Hawaii
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Montana
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Idaho
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Wyoming
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Colorado
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,New Mexico
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Arizona
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Utah
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Nevada
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Washington
2016,jan,Food Away From Home,255.149,West,Pre-COVID,282.25,48566.92307692308,250.00616666666667,47588.0,Oregon
